match_id,patch,league_name,radiant_name,dire_name,radiant_win,draft_order,draft_teams,draft_is_pick,radiant_players,dire_players
8799238108,60,Destiny League,Nova Pulse,Flawless Goblins,True,"Tinker, Outworld Devourer, Windranger, Doom, Medusa, Visage, Nature's Prophet, Legion Commander, Zeus, Lone Druid, Naga Siren, Monkey King, Mars, Warlock, Lion, Troll Warlord, Lich, Lina, Meepo, Faceless Void, Morphling, Luna, Gyrocopter, Grimstroke","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","NP.infinity, NP.chaveve, NP.BlAze, NP.reneemartin, NP.Black l1ght","ZodiAc!, Kreen, Randing, tinkywinky, Okoni"
8799227236,60,Ultras Dota Pro League  2025-26,Eye Gaming,Elite Eclipse,False,"Hoodwink, Rubick, Huskar, Shadow Fiend, Enchantress, Batrider, Phoenix, Pangolier, Queen of Pain, Alchemist, Grimstroke, Visage, Doom, Silencer, Windranger, Mars, Skywrath Mage, Lone Druid, Spirit Breaker, Necrophos, Tusk, Invoker, Ember Spirit, Sand King","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","io, Impact, блин почему я не месси, keep on dancing in the dark, Leocouk","Konstantin, chad, qwaza, yvs, 1kxaos"
8799205734,60,European Pro League  2025-2026 Season,Two Move,Team Lynx,True,"Beastmaster, Winter Wyvern, Batrider, Lone Druid, Rubick, Slardar, Phoenix, Hoodwink, Pangolier, Alchemist, Windranger, Techies, Ring Master, Monkey King, Grimstroke, Dark Willow, Faceless Void, Underlord, Brewmaster, Ember Spirit, Bristleback, Sand King, Tiny, Death Prophet","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","♦, Ainkrad, Мечта., queezy, WoE","7jesu, mellojul, htiviy_vladik, QBFY, kreker"
8799205642,60,1win Essence I,enjoy,MOUZ,True,"Pangolier, Batrider, Beastmaster, Monkey King, Slardar, Lone Druid, Viper, Alchemist, Bristleback, Rubick, Muerta, Void Spirit, Hoodwink, Clockwerk, Phoenix, Kez, Venomancer, Queen of Pain, Puck, Tidehunter, Huskar, Largo, Primal Beast, Ember Spirit","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","bottega, мистер мораль, swedenstrong, Rein, squad1x","SumaiL-, BOOM, Crystallis, yamich, Tobi"
8799187181,60,Destiny League,Flawless Goblins,Nova Pulse,False,"Tinker, Outworld Devourer, Beastmaster, Snapfire, Medusa, Magnus, Venomancer, Doom, Zeus, Naga Siren, Morphling, Windranger, Warlock, Crystal Maiden, Lion, Pudge, Tidehunter, Rubick, Meepo, Void Spirit, Lone Druid, Visage, Luna, Shadow Fiend","0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","ZodiAc!, Kreen, tinkywinky, Randing, Okoni","NP.BlAze, NP.chaveve, NP.reneemartin, NP.infinity, NP.Black l1ght"
8799166156,60,Ultras Dota Pro League  2025-26,La Passion,Air Defence,False,"Rubick, Silencer, Shadow Fiend, Huskar, Spirit Breaker, Doom, Skywrath Mage, Hoodwink, Phoenix, Pangolier, Batrider, Tidehunter, Alchemist, Death Prophet, Faceless Void, Morphling, Zeus, Ember Spirit, Queen of Pain, Grimstroke, Puck, Snapfire, Visage, Beastmaster","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","keep on dancing in the dark, Weak on pussy, yvs, ., .","qwaza, Impact, Konstantin, chad, Leocouk"
8799137581,60,Destiny League,Nova Pulse,Flawless Goblins,False,"Bane, Leshrac, Tiny, Slardar, Venomancer, Lich, Warlock, Zeus, Lina, Pangolier, Visage, Shadow Fiend, Snapfire, Spirit Breaker, Nyx Assassin, Disruptor, Windranger, Crystal Maiden, Witch Doctor, Razor, Winter Wyvern, Bristleback, Troll Warlord, Templar Assassin","0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","NP.BlAze, NP.chaveve, NP.infinity, NP.reneemartin, NP.Black l1ght","Kreen, Okoni, ZodiAc!, tinkywinky, Randing"
8799120637,60,1win Essence I,Team Nemesis,REKONIX,False,"Batrider, Pangolier, Slardar, Lone Druid, Monkey King, Sand King, Alchemist, Hoodwink, Beastmaster, Shadow Demon, Phoenix, Puck, Techies, Enchantress, Kez, Axe, Crystal Maiden, Keeper of the Light, Storm Spirit, Underlord, Templar Assassin, Tidehunter, Bristleback, Void Spirit","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","rubikon155, 4nalog丶01, J, ponlo, Yamsun","inYourdreaM, jikroy, Fbz, dalul, Varizh"
8799112928,60,European Pro League  2025-2026 Season,Team Lynx,Two Move,False,"Beastmaster, Phoenix, Slardar, Lone Druid, Batrider, Alchemist, Hoodwink, Rubick, Pangolier, Techies, Monkey King, Bloodseeker, Grimstroke, Winter Wyvern, Bristleback, Muerta, Tusk, Void Spirit, Huskar, Underlord, Tidehunter, Axe, Faceless Void, Largo","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","7jesu, mellojul, htiviy_vladik, QBFY, kreker","♦, Ainkrad, WoE, queezy, Мечта."
8799109117,60,Ultras Dota Pro League  2025-26,Air Defence,La Passion,True,"Huskar, Shadow Fiend, Batrider, Doom, Invoker, Rubick, Phoenix, Pangolier, Ember Spirit, Silencer, Nyx Assassin, Death Prophet, Hoodwink, Leshrac, Zeus, Faceless Void, Skywrath Mage, Night Stalker, Mars, Luna, Slardar, Lifestealer, Broodmother, Bristleback","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","qwaza, Impact, Leocouk, Konstantin, chad","Weak on pussy, блин почему я не месси, keep on dancing in the dark, ., ."
